iter	Passed	Remaining
0	8	8620
1	15	7970
2	23	7761
3	31	7735
4	39	7909
5	46	7700
6	53	7598
7	59	7390
8	65	7200
9	72	7131
10	77	6979
11	83	6846
12	89	6766
13	94	6677
14	101	6677
15	107	6620
16	113	6585
17	119	6539
18	125	6474
19	131	6441
20	138	6442
21	143	6392
22	149	6353
23	155	6318
24	161	6295
25	168	6307
26	174	6294
27	180	6259
28	186	6247
29	192	6222
30	198	6207
31	204	6187
32	209	6150
33	215	6123
34	220	6091
35	226	6055
36	231	6026
37	236	5994
38	241	5954
39	247	5934
40	252	5908
41	257	5876
42	262	5849
43	268	5831
44	273	5809
45	279	5799
46	284	5778
47	290	5759
48	295	5737
49	300	5718
50	306	5694
51	311	5682
52	317	5669
53	322	5651
54	327	5629
55	333	5614
56	338	5592
57	343	5571
58	348	5558
59	354	5550
60	359	5530
61	364	5518
62	369	5499
63	374	5481
64	380	5469
65	385	5456
66	390	5436
67	395	5425
68	400	5409
69	405	5391
70	411	5382
71	416	5370
72	421	5357
73	427	5346
74	432	5330
75	437	5315
76	442	5301
77	447	5291
78	452	5279
79	455	5242
80	461	5231
81	466	5217
82	471	5204
83	476	5198
84	481	5185
85	486	5172
86	492	5165
87	496	5150
88	502	5138
89	507	5130
90	512	5120
91	517	5110
92	523	5101
93	528	5093
94	534	5088
95	540	5085
96	545	5076
97	550	5065
98	555	5059
99	560	5048
100	565	5036
101	571	5034
102	577	5025
103	581	5012
104	587	5011
105	593	5001
106	598	4992
107	603	4982
108	608	4975
109	613	4966
110	619	4957
111	624	4951
112	629	4942
113	635	4937
114	640	4930
115	645	4920
116	650	4911
117	656	4904
118	661	4898
119	667	4892
120	672	4884
121	677	4876
122	682	4868
123	688	4860
124	692	4850
125	697	4841
126	703	4834
127	708	4830
128	715	4831
129	721	4827
130	727	4826
131	733	4825
132	739	4818
133	744	4811
134	750	4806
135	755	4798
136	760	4790
137	767	4793
138	773	4793
139	781	4798
140	787	4795
141	792	4789
142	798	4783
143	803	4776
144	808	4768
145	814	4764
146	819	4756
147	824	4748
148	830	4741
149	836	4739
150	842	4739
151	850	4744
152	856	4741
153	862	4737
154	868	4735
155	873	4728
156	879	4724
157	885	4720
158	891	4717
159	898	4714
160	903	4706
161	913	4726
162	924	4749
163	937	4778
164	947	4796
165	953	4790
166	959	4786
167	965	4781
168	971	4774
169	980	4784
170	985	4777
171	991	4771
172	996	4764
173	1001	4755
174	1007	4747
175	1012	4739
176	1018	4735
177	1024	4733
178	1030	4727
179	1036	4719
180	1041	4712
181	1046	4702
182	1051	4693
183	1056	4686
184	1062	4678
185	1067	4669
186	1072	4661
187	1077	4654
188	1082	4647
189	1088	4639
190	1093	4631
191	1098	4623
192	1104	4618
193	1110	4614
194	1116	4609
195	1122	4605
196	1124	4583
197	1129	4574
198	1135	4568
199	1140	4561
200	1145	4553
201	1150	4544
202	1155	4538
203	1160	4529
204	1165	4520
205	1170	4513
206	1176	4506
207	1181	4498
208	1187	4492
209	1192	4485
210	1197	4478
211	1203	4472
212	1208	4465
213	1213	4458
214	1218	4450
215	1223	4440
216	1227	4429
217	1232	4421
218	1237	4412
219	1242	4404
220	1246	4394
221	1252	4387
222	1256	4377
223	1261	4368
224	1265	4359
225	1270	4350
226	1274	4339
227	1278	4330
228	1283	4321
229	1288	4312
230	1292	4302
231	1297	4294
232	1302	4286
233	1306	4276
234	1310	4266
235	1315	4257
236	1319	4248
237	1323	4238
238	1328	4229
239	1333	4222
240	1337	4213
241	1341	4203
242	1346	4195
243	1351	4186
244	1356	4178
245	1360	4170
246	1365	4163
247	1370	4154
248	1374	4146
249	1379	4137
250	1383	4128
251	1387	4118
252	1391	4108
253	1396	4100
254	1400	4091
255	1404	4081
256	1408	4071
257	1413	4064
258	1417	4055
259	1421	4046
260	1426	4037
261	1430	4030
262	1435	4021
263	1439	4013
264	1443	4004
265	1448	3996
266	1452	3988
267	1457	3980
268	1462	3973
269	1466	3963
270	1470	3954
271	1474	3945
272	1478	3937
273	1482	3928
274	1486	3920
275	1491	3911
276	1495	3904
277	1499	3895
278	1503	3886
